LINK_ID	GEOMETRY
115	LINESTRING (987042.15217321 -4294773.21594213,987052.93773313 -4294780.70952922,987060.49792416 -4294789.57452035,987065.6805339 -4294802.27336043)
116	LINESTRING (973175.9014877 -4292809.12161936)
117	LINESTRING (973175.9014877 -4292809.12161936)
118	LINESTRING (973183.69875126 -4292849.34809009)
119	LINESTRING (973183.69875126 -4292849.34809009)
120	LINESTRING (973214.73170457 -4292802.62442703,973221.67995747 -4292801.36303717,973290.54303243 -4292788.81825705,973357.95388366 -4292772.46000888,973430.09928556 -4292751.39715249,973812.70641643 -4292619.64059726)
121	LINESTRING (973812.70641643 -4292619.64059726,973430.09928556 -4292751.39715249,973357.95388366 -4292772.46000888,973290.54303243 -4292788.81825705,973221.67995747 -4292801.36303717,973214.73170457 -4292802.62442703)
122	LINESTRING (974731.68469179 -4292469.05778178)
123	LINESTRING (974731.68469179 -4292469.05778178)
124	LINESTRING (974618.29566912 -4292498.79017974,974535.57434997 -4292496.15882775,974434.94024016 -4292499.85342666,974342.88807397 -4292511.42928557,974253.32278491 -4292527.29175749,974173.40416448 -4292547.31905393)
125	LINESTRING (974173.40416448 -4292547.31905393,974253.32278491 -4292527.29175749,974342.88807397 -4292511.42928557,974434.94024016 -4292499.85342666,974535.57434997 -4292496.15882775,974618.29566912 -4292498.79017974)
126	LINESTRING (974760.95913209 -4292512.12551909)
127	LINESTRING (974760.95913209 -4292512.12551909)
128	LINESTRING (975223.84320736 -4292520.56573584,975246.10151914 -4292518.01891082,975269.9321546 -4292514.37787488,975288.34423559 -4292511.07827578,975306.73163657 -4292506.94737228,975326.46188737 -4292501.3995358,975345.25642617 -4292493.85339149,975373.63781225 -4292479.41913772,975398.51476239 -4292462.36849293)
129	LINESTRING (975398.51476239 -4292462.36849293,975373.63781225 -4292479.41913772,975345.25642617 -4292493.85339149,975326.46188737 -4292501.3995358,975306.73163657 -4292506.94737228,975288.34423559 -4292511.07827578,975269.9321546 -4292514.37787488,975246.10151914 -4292518.01891082,975223.84320736 -4292520.56573584)
130	LINESTRING (975425.88836048 -4292428.96547867,975428.21648119 -4292422.71624961,975430.10828213 -4292416.27177337,975430.45004794 -4292409.75818098,975429.7865769 -4292401.73314518)
131	LINESTRING (975429.7865769 -4292401.73314518,975430.45004794 -4292409.75818098,975430.10828213 -4292416.27177337,975428.21648119 -4292422.71624961,975425.88836048 -4292428.96547867)
